n_samples,integral
98850,0.6304859748918076
99600,0.6304859837973054
100350,0.6304858268593936
101100,0.6304858396862739
101850,0.6304847171370952
102600,0.6304847332412924
103350,0.6304843052311103
104100,0.6304843933979025
104850,0.6304814378436484
105600,0.630481206045885
105750,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
105900,0.630481206045885
106050,0.630481206045885
